sale_id,store_id,product_id,quantity,price,cost,sale_date,discount_pct,revenue,total_cost,profit,profit_margin_pct
1,1,1,5,599.0,350.0,2026-06-01,5.0,2845.25,1750.0,1095.25,38.49
2,1,3,10,499.0,200.0,2026-06-01,0.0,4990.0,2000.0,2990.0,59.92
3,2,2,3,1499.0,900.0,2026-06-02,10.0,4047.3,2700.0,1347.3,33.29
4,2,4,5,2999.0,1800.0,2026-06-02,0.0,14995.0,9000.0,5995.0,39.98
5,3,5,1,3499.0,2200.0,2026-06-03,15.0,2974.15,2200.0,774.15,26.03
6,3,6,7,899.0,450.0,2026-06-03,0.0,6293.0,3150.0,3143.0,49.94
7,4,7,4,1299.0,700.0,2026-06-04,5.0,4936.2,2800.0,2136.2,43.28
8,4,8,6,799.0,400.0,2026-06-04,0.0,4794.0,2400.0,2394.0,49.94
9,5,1,8,599.0,350.0,2026-06-05,0.0,4792.0,2800.0,1992.0,41.57
10,5,3,12,499.0,200.0,2026-06-05,20.0,4790.4,2400.0,2390.4,49.9
11,1,4,2,2999.0,1800.0,2026-06-06,0.0,5998.0,3600.0,2398.0,39.98
12,2,5,1,3499.0,2200.0,2026-06-06,10.0,3149.1,2200.0,949.1,30.14
13,3,2,3,1499.0,900.0,2026-06-07,0.0,4497.0,2700.0,1797.0,39.96
14,4,6,9,899.0,450.0,2026-06-07,5.0,7686.45,4050.0,3636.45,47.31
15,5,7,5,1299.0,700.0,2026-06-08,0.0,6495.0,3500.0,2995.0,46.11
16,1,8,3,799.0,400.0,2026-06-08,0.0,2397.0,1200.0,1197.0,49.94
17,2,1,6,599.0,350.0,2026-06-09,10.0,3234.6,2100.0,1134.6,35.08
18,3,3,5,499.0,200.0,2026-06-09,0.0,2495.0,1000.0,1495.0,59.92
19,4,4,2,2999.0,1800.0,2026-06-10,0.0,5998.0,3600.0,2398.0,39.98
20,5,5,4,3499.0,2200.0,2026-06-10,25.0,10497.0,8800.0,1697.0,16.17
22,2,7,3,1299.0,700.0,2026-06-11,5.0,3702.15,2100.0,1602.15,43.28
23,3,8,5,799.0,400.0,2026-06-11,0.0,3995.0,2000.0,1995.0,49.94
24,4,1,10,599.0,350.0,2026-06-12,0.0,5990.0,3500.0,2490.0,41.57
25,5,2,2,1499.0,900.0,2026-06-12,10.0,2698.2,1800.0,898.2,33.29
